,DATE,PRCP
0,2017-01-01,0.0
1,2017-01-02,0.35
2,2017-01-03,0.86
3,2017-01-04,0.0
4,2017-01-05,0.0
5,2017-01-06,0.0
6,2017-01-07,0.01
7,2017-01-08,0.0
8,2017-01-09,0.0
9,2017-01-10,0.0
10,2017-01-11,0.07
11,2017-01-12,0.02
12,2017-01-13,0.0
13,2017-01-14,0.29
14,2017-01-15,0.0
15,2017-01-16,0.01
16,2017-01-17,0.21
17,2017-01-18,0.0
18,2017-01-19,0.0
19,2017-01-20,0.01
20,2017-01-21,0.0
21,2017-01-22,0.15
22,2017-01-23,0.67
23,2017-01-24,0.03
24,2017-01-25,0.0
25,2017-01-26,0.0
26,2017-01-27,0.0
27,2017-01-28,0.0
28,2017-01-29,0.0
29,2017-01-30,0.07
30,2017-01-31,0.0
31,2017-02-01,0.0
32,2017-02-02,0.0
33,2017-02-03,0.0
34,2017-02-04,0.0
35,2017-02-05,0.0
36,2017-02-06,0.0
37,2017-02-07,0.0
38,2017-02-08,0.0
39,2017-02-09,0.12
40,2017-02-10,0.0
41,2017-02-11,0.0
42,2017-02-12,0.03
43,2017-02-13,0.0
44,2017-02-14,0.0
45,2017-02-15,0.0
46,2017-02-16,0.0
47,2017-02-17,0.0
48,2017-02-18,0.0
49,2017-02-19,0.01
50,2017-02-20,0.0
51,2017-02-21,0.0
52,2017-02-22,0.0
53,2017-02-23,0.0
54,2017-02-24,0.0
55,2017-02-25,0.18
56,2017-02-26,0.0
57,2017-02-27,0.0
58,2017-02-28,0.34
59,2017-03-01,0.02
60,2017-03-02,0.01
61,2017-03-03,0.0
62,2017-03-04,0.0
63,2017-03-05,0.0
64,2017-03-06,0.0
65,2017-03-07,0.07
66,2017-03-08,0.01
67,2017-03-09,0.0
68,2017-03-10,0.09
69,2017-03-11,0.0
70,2017-03-12,0.0
71,2017-03-13,0.34
72,2017-03-14,0.89
73,2017-03-15,0.0
74,2017-03-16,0.0
75,2017-03-17,0.01
76,2017-03-18,0.37
77,2017-03-19,0.26
78,2017-03-20,0.0
79,2017-03-21,0.0
80,2017-03-22,0.0
81,2017-03-23,0.0
82,2017-03-24,0.13
83,2017-03-25,0.0
84,2017-03-26,0.0
85,2017-03-27,0.01
86,2017-03-28,0.02
87,2017-03-29,0.0
88,2017-03-30,0.0
89,2017-03-31,0.96
