,aisle,CountProduct_id
0,air fresheners candles,20
1,asian foods,272
2,baby accessories,10
3,baby bath body care,11
4,baby food formula,656
5,bakery desserts,50
6,baking ingredients,488
7,baking supplies decor,35
8,beauty,5
9,beers coolers,85
10,body lotions soap,69
11,bread,880
12,breakfast bakery,381
13,breakfast bars pastries,118
14,bulk dried fruits vegetables,35
15,bulk grains rice dried goods,29
16,buns rolls,181
17,butter,411
18,candy chocolate,447
19,canned fruit applesauce,123
20,canned jarred vegetables,432
21,canned meals beans,442
22,canned meat seafood,111
23,cat food care,100
24,cereal,574
25,chips pretzels,1144
26,cleaning products,175
27,cocoa drink mixes,36
28,coffee,300
29,cold flu allergy,36
30,condiments,355
31,cookies cakes,394
32,crackers,711
33,cream,519
34,deodorants,21
35,diapers wipes,39
36,digestion,37
37,dish detergents,134
38,dog food care,59
39,doughs gelatins bake mixes,187
40,dry pasta,402
41,eggs,699
42,energy granola bars,663
43,energy sports drinks,150
44,eye ear care,14
45,facial care,19
46,feminine care,30
47,first aid,5
48,food storage,94
49,fresh dips tapenades,580
50,fresh fruits,5787
51,fresh herbs,623
52,fresh pasta,58
53,fresh vegetables,5380
54,frozen appetizers sides,278
55,frozen breads doughs,64
56,frozen breakfast,362
57,frozen dessert,30
58,frozen juice,8
59,frozen meals,605
60,frozen meat seafood,104
61,frozen pizza,219
62,frozen produce,798
63,frozen vegan vegetarian,159
64,fruit vegetable snacks,256
65,grains rice dried goods,245
66,granola,172
67,hair care,48
68,honeys syrups nectars,99
69,hot cereal pancake mixes,227
70,hot dogs bacon sausage,474
71,ice cream ice,728
72,ice cream toppings,16
73,indian foods,22
74,instant foods,345
75,juice nectars,528
76,kitchen supplies,9
77,kosher foods,22
78,latino foods,111
79,laundry,152
80,lunch meat,583
81,marinades meat preparation,90
82,meat counter,107
83,milk,1416
84,mint gum,39
85,missing,107
86,more household,28
87,muscles joints pain relief,25
88,nuts seeds dried fruit,493
89,oils vinegars,387
90,oral hygiene,113
91,other,45
92,other creams cheeses,482
93,packaged cheese,1488
94,packaged meat,38
95,packaged poultry,181
96,packaged produce,467
97,packaged seafood,32
98,packaged vegetables fruits,2684
99,paper goods,383
100,pasta sauce,343
101,pickled goods olives,162
102,plates bowls cups flatware,66
103,popcorn jerky,244
104,poultry counter,195
105,prepared meals,166
106,prepared soups salads,104
107,preserved dips spreads,183
108,protein meal replacements,69
109,red wines,62
110,refrigerated,868
111,refrigerated pudding desserts,58
112,salad dressing toppings,147
113,seafood counter,50
114,shave needs,15
115,skin care,14
116,soap,121
117,soft drinks,539
118,soup broth bouillon,535
119,soy lactosefree,1010
120,specialty cheeses,155
121,specialty wines champagnes,11
122,spices seasonings,335
123,spirits,49
124,spreads,495
125,tea,417
126,tofu meat alternatives,219
127,tortillas flat bread,314
128,trail mix snack mix,63
129,trash bags liners,33
130,vitamins supplements,61
131,water seltzer sparkling water,1472
132,white wines,53
133,yogurt,2265
