order_id,num_items,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2281065,24,108077,prior,8,6,16,14.0
3407099,3,195027,prior,8,2,14,7.0
2106016,7,94462,prior,2,0,18,29.0
1222212,1,141637,prior,66,2,13,4.0
2571664,15,119478,prior,28,1,8,6.0
352193,8,107560,prior,6,5,15,30.0
2432274,11,64963,prior,3,5,19,26.0
2210081,8,128646,prior,15,2,12,29.0
3122676,5,179917,prior,17,2,11,0.0
1352217,13,2033,prior,4,3,22,5.0
1856980,8,158912,prior,12,2,14,2.0
2092157,8,144606,prior,5,5,18,18.0
2515112,6,52383,prior,36,1,18,1.0
1697363,4,38353,prior,6,5,18,1.0
2860602,10,155157,prior,2,6,14,17.0
2264419,5,112899,prior,13,3,13,10.0
1083977,14,50294,prior,5,6,19,4.0
854559,9,174361,prior,6,5,1,8.0
1398760,17,52127,prior,21,3,9,19.0
1581419,15,183679,prior,14,6,10,4.0
2549969,5,38593,prior,11,1,7,27.0
2250871,23,79847,prior,3,1,10,30.0
651632,8,157549,prior,21,0,17,2.0
2257194,9,33654,prior,2,4,15,20.0
881777,9,116472,prior,4,1,10,5.0
382687,21,154186,prior,23,1,8,8.0
793255,23,135598,prior,10,6,15,30.0
3325385,6,154501,prior,3,0,14,21.0
3006175,7,105319,prior,44,6,15,4.0
116551,2,102606,prior,6,2,14,15.0
2992440,24,126128,prior,10,6,14,30.0
3335310,1,99955,prior,1,1,7,
1598196,10,125246,prior,8,6,17,7.0
2204533,6,25645,prior,12,1,9,30.0
90188,14,131080,prior,20,6,20,8.0
2974711,2,168068,prior,15,1,15,5.0
2210039,17,60193,prior,6,2,10,14.0
3254291,3,161703,prior,18,4,15,3.0
3354332,6,4596,prior,28,6,19,5.0
3092464,11,163782,prior,39,0,9,1.0
2596298,3,103383,prior,17,1,8,10.0
924484,12,205924,prior,6,3,15,2.0
1714314,9,124979,prior,1,1,16,
1123848,7,170584,prior,57,5,13,5.0
810645,3,128483,prior,2,6,7,1.0
207178,11,167273,prior,5,0,13,4.0
1958575,10,169071,prior,72,0,9,1.0
2076606,5,61117,prior,4,4,19,11.0
1010626,7,59095,prior,30,6,9,9.0
1863959,12,89514,prior,4,0,16,27.0
1946546,10,198196,prior,36,2,11,8.0
3094582,6,104490,prior,5,0,7,26.0
2858573,20,42270,prior,8,1,17,0.0
1131425,10,175304,prior,16,3,16,3.0
2717217,2,142182,prior,33,5,18,6.0
146235,8,38602,prior,13,4,11,16.0
1096988,7,168120,prior,9,4,13,21.0
2060471,5,144700,prior,14,3,8,2.0
3120537,9,201082,prior,12,0,10,4.0
1286871,11,87000,prior,4,2,13,10.0
1711196,5,40033,prior,7,0,17,5.0
2791092,1,175340,prior,3,0,22,9.0
3049620,9,169988,prior,5,0,15,2.0
362023,2,149641,prior,9,0,21,30.0
3065489,25,134579,prior,5,6,18,6.0
2327526,2,131836,prior,2,1,11,30.0
2796120,6,107,prior,6,5,22,23.0
3118036,35,174300,prior,3,2,20,23.0
961492,3,175646,prior,20,3,9,1.0
2081802,9,87217,prior,16,2,20,16.0
2066405,10,30644,prior,2,2,12,30.0
1934462,2,201385,prior,15,1,11,6.0
908421,11,169562,prior,2,5,14,30.0
3274514,12,200322,prior,4,5,12,30.0
1847416,7,29243,prior,31,3,18,14.0
2787061,17,138060,prior,5,4,7,22.0
1259055,8,152365,prior,25,6,17,2.0
2995616,14,45911,prior,38,1,19,5.0
3195806,1,166374,prior,39,2,11,3.0
1098190,3,72667,prior,14,3,14,1.0
2411635,10,34948,prior,9,3,16,6.0
2613157,1,143198,prior,44,3,14,4.0
975630,7,22643,prior,11,5,9,2.0
1440734,18,199289,prior,22,0,17,1.0
548193,15,109356,prior,17,3,13,5.0
496909,4,107580,prior,23,4,12,10.0
2058334,22,181017,prior,14,3,13,30.0
268988,4,114925,prior,18,1,11,14.0
1774147,1,32411,prior,4,5,17,14.0
2357122,6,144958,prior,27,5,9,7.0
729156,7,189831,prior,14,2,13,27.0
